Wall time,Step,Value
1683503893.7713652,52489,-322.8763122558594
1683503896.6114345,54044,-334.115966796875
1683503905.3047428,58044,-333.3426208496094
1683503914.844111,62044,-330.7648620605469
1683503924.9425116,66044,-327.20001220703125
1683503934.861398,70044,-324.23193359375
1683503946.1038134,74044,-323.8791198730469
1683503956.9483857,78044,-322.8717956542969
1683503968.6471622,82044,-319.31854248046875
1683503979.447681,86044,-315.1753234863281
1683503990.6194944,90044,-311.7131652832031
1683504001.187994,94044,-306.0108337402344
1683504011.7851667,98044,-301.84771728515625
1683504022.754758,102044,-291.4828186035156
1683504032.3149939,106044,-292.7958068847656
1683504043.3255055,110044,-291.6512145996094
1683504055.0509696,114044,-289.04461669921875
1683504066.5501282,118044,-287.90789794921875
1683504076.7166605,122044,-287.3207092285156
1683504087.8551934,126044,-279.0070495605469
1683504098.0553703,130044,-262.2865905761719
1683504107.9308221,134044,-246.11734008789062
1683504118.709482,138044,-221.1136932373047
1683504128.6272588,142044,-196.2124481201172
1683504138.6314182,146044,-164.57489013671875
1683504149.2970908,150044,-134.6741180419922
1683504159.4429433,154044,-119.0365982055664
1683504169.5125556,158044,-118.34224700927734
1683504180.175439,162044,-117.85210418701172
1683504190.8185961,166044,-119.18400573730469
1683504200.42403,170044,-121.16109466552734
1683504210.3163612,174044,-122.5989990234375
1683504220.9371588,178044,-124.69110107421875
1683504230.6826575,182044,-124.36768341064453
1683504241.4485116,186044,-126.45985412597656
1683504249.5768168,189661,-126.23951721191406
1683504259.1239815,193362,-128.23423767089844
1683504267.5794752,197015,-130.45887756347656
1683504277.1552048,200919,-132.17738342285156
1683504287.347775,204887,-135.0417938232422
1683504297.0643775,208887,-135.99574279785156
1683504306.65311,212824,-136.96331787109375
1683504315.927013,216774,-138.01071166992188
1683504327.465732,220774,-139.60325622558594
1683504337.371119,224774,-139.83734130859375
1683504347.0134642,228774,-140.28759765625
1683504356.3550608,232580,-139.97265625
1683504365.9496567,236580,-139.90785217285156
1683504376.682255,240580,-140.98800659179688
1683504385.0739195,244580,-139.84092712402344
1683504394.9368541,248580,-140.6297149658203
1683504406.0259895,252580,-140.98631286621094
1683504416.3748984,256580,-140.67189025878906
1683504425.9714983,260580,-139.94937133789062
1683504437.1098912,264580,-139.4843292236328
1683504447.8659804,268580,-138.3115692138672
1683504458.0024798,272580,-136.68844604492188
1683504469.1286044,276580,-135.92759704589844
1683504479.534482,280580,-136.5975799560547
1683504491.1072943,284580,-136.5308074951172
1683504501.205351,288580,-136.63803100585938
1683504511.7441988,292580,-135.71864318847656
1683504521.6625724,296580,-132.9344940185547
1683504532.0829532,300580,-131.70062255859375
1683504541.4563012,304580,-129.6229248046875
1683504552.2937176,308580,-129.78746032714844
1683504562.2136514,312580,-128.58956909179688
1683504571.6929572,316580,-126.65167999267578
1683504581.0426364,320580,-125.0945816040039
1683504590.40669,324580,-124.9549331665039
1683504600.409261,328580,-124.12468719482422
1683504609.504299,332580,-123.57635498046875
1683504618.7651598,336580,-123.37657928466797
1683504629.2287133,340580,-123.22078704833984
1683504640.3095267,344580,-123.76350402832031
1683504650.0754068,348580,-122.80868530273438
1683504660.6778045,352580,-122.05119323730469
1683504669.6731412,356580,-121.25350952148438
1683504680.50659,360580,-121.47563171386719
1683504690.4899085,364580,-120.07622528076172
1683504700.6710956,368580,-120.07598114013672
1683504711.0601838,372580,-120.49763488769531
1683504721.5145028,376580,-120.10548400878906
1683504732.8695145,380580,-119.49539184570312
1683504743.90245,384580,-118.92092895507812
1683504754.7371397,388580,-117.99819946289062
1683504764.3462055,392580,-116.5129165649414
1683504774.480155,396580,-117.5282974243164
1683504783.931417,400580,-117.34636688232422
1683504793.0268028,404580,-116.69161224365234
1683504803.600318,408580,-116.38314819335938
1683504814.1529472,412580,-116.34405517578125
1683504825.5375028,416580,-117.80091094970703
