Wall time,Step,Value
1683472058.3501754,466944,-79.60002136230469
1683472065.3845956,468992,-79.21862030029297
1683472072.0905828,471040,-80.02312469482422
1683472078.657503,473088,-79.32101440429688
1683472086.4294932,475136,-78.46953582763672
1683472093.4614332,477184,-79.04380798339844
1683472099.792151,479232,-78.2559814453125
1683472106.1635554,481280,-78.25495910644531
1683472112.2108905,483328,-77.71174621582031
1683472118.1956103,485376,-77.1178207397461
1683472124.4803932,487424,-77.19296264648438
1683472131.8803127,489472,-77.8933334350586
1683472137.7698305,491520,-77.53779602050781
1683472144.1082098,493568,-77.8306884765625
1683472149.6103053,495616,-78.35529327392578
1683472155.5912514,497664,-78.65408325195312
1683472160.7645578,499712,-78.0775146484375
1683472166.4098127,501760,-77.6137924194336
